"","Date","hour","Temperature","new.kWh"
"273","10/9/2016","16",11.1,159.31006353773
"274","10/9/2016","17",11.1,135.174918056474
"275","10/9/2016","17",10.6,131.993018672944
"276","10/9/2016","17",10.6,131.995544011353
"277","10/9/2016","18",10.6,101.978480875803
"278","10/9/2016","19",10.6,78.5627695799766
"279","10/9/2016","19",10,74.1861262373167
"280","10/9/2016","20",10,86.476395764942
"281","10/9/2016","20",10,85.8728935361424
"282","10/9/2016","20",10,85.9539478851652
"283","10/9/2016","21",10,28.1440015469849
"284","10/9/2016","21",10,30.0910513618934
"285","10/9/2016","21",10,30.0933662554348
"286","10/9/2016","22",10,28.7643937198816
"287","10/9/2016","23",10,15.5192549411983
"288","10/10/2016","0",9.4,109.554160355704
"289","10/10/2016","1",8.3,105.649471696489
"290","10/10/2016","2",7.8,114.914494850478
"291","10/10/2016","3",7.2,116.669649004411
"292","10/10/2016","4",7.2,120.21536765891
"293","10/10/2016","5",7.2,127.464897155462
"294","10/10/2016","6",7.2,215.509574854321
"295","10/10/2016","7",7.8,273.917347602186
"296","10/10/2016","8",8.9,293.88745710388
"297","10/10/2016","9",10,299.895496441715
"298","10/10/2016","10",11.1,306.160707292849
"299","10/10/2016","11",12.2,305.842480236298
"300","10/10/2016","12",13.3,303.801584519169
"301","10/10/2016","13",13.9,298.8574760805
"302","10/10/2016","14",14.4,286.378799263054
"303","10/10/2016","15",14.4,261.95654075796
"304","10/10/2016","16",14.4,270.002894591256
"305","10/10/2016","17",12.8,239.343980428678
"306","10/10/2016","18",11.7,198.469541622499
"307","10/10/2016","19",11.1,182.902829095976
"308","10/10/2016","20",10,179.247117721993
"309","10/10/2016","21",9.4,121.250510710762
"310","10/10/2016","22",8.9,117.128622866959
"311","10/10/2016","23",8.3,112.000356371758
"312","10/11/2016","0",7.8,113.791910950088
"313","10/11/2016","1",7.2,111.964425923975
"314","10/11/2016","2",7.2,116.631227159702
"315","10/11/2016","3",6.7,111.34441623428
"316","10/11/2016","4",6.7,120.250529010495
"317","10/11/2016","5",6.7,127.392186119409
"318","10/11/2016","6",6.7,213.922052077412
"319","10/11/2016","7",7.2,267.349289974768
"320","10/11/2016","8",9.4,304.784047441975
"321","10/11/2016","9",12.2,313.431000126135
"322","10/11/2016","10",13.3,318.019590509547
"323","10/11/2016","11",15,325.971823398453
"324","10/11/2016","12",14.4,333.319021259958
"325","10/11/2016","13",14.4,324.322864616643
"326","10/11/2016","14",14.4,316.380911080098
"327","10/11/2016","15",14.4,291.315937250442
"328","10/11/2016","16",14.4,299.838511940132
"329","10/11/2016","17",13.3,268.919292113998
"330","10/11/2016","18",12.8,224.666539333256
"331","10/11/2016","19",12.2,202.386244505427
"332","10/11/2016","20",11.1,193.62799938271
"333","10/11/2016","21",11.1,138.544188568102
"334","10/11/2016","22",10.6,133.155611211212
"335","10/11/2016","23",11.1,136.679856633474
"336","10/12/2016","0",9.4,117.723336919182
"337","10/12/2016","1",9.4,122.203468493859
"338","10/12/2016","2",9.4,119.644936948698
"339","10/12/2016","3",9.4,120.952048664844
"340","10/12/2016","4",9.4,123.2395312889
"341","10/12/2016","5",9.4,148.98665070772
"342","10/12/2016","6",9.4,221.250019473187
"343","10/12/2016","7",10.6,279.507482388381
"344","10/12/2016","8",12.2,301.028533403627
"345","10/12/2016","9",13.3,310.691236465748
"346","10/12/2016","10",15,311.968518300282
"347","10/12/2016","11",15.6,327.981302068661
"348","10/12/2016","12",16.1,334.820220346589
"349","10/12/2016","13",16.7,328.649959699171
"350","10/12/2016","14",16.7,300.457805800676
"351","10/12/2016","15",16.1,274.676439793735
"352","10/12/2016","16",16.7,295.318895337893
"353","10/12/2016","17",15.6,242.633896282295
"354","10/12/2016","18",15,220.532707989072
"355","10/12/2016","19",13.9,195.308331692559
"356","10/12/2016","20",13.3,192.734773174658
"357","10/12/2016","21",12.2,132.341740994462
"358","10/12/2016","22",11.7,120.603325525704
"359","10/12/2016","23",11.7,127.517135503832
"360","10/13/2016","0",11.1,112.2218284417
"361","10/13/2016","1",11.1,121.402460010031
"362","10/13/2016","2",11.1,117.437044091116
"363","10/13/2016","3",12.2,115.31306804947
"364","10/13/2016","4",12.8,125.892819895176
"365","10/13/2016","5",12.8,144.037561324445
"366","10/13/2016","6",12.8,218.978190345881
"367","10/13/2016","7",13.3,275.869861047757
"368","10/13/2016","7",13.3,272.805222307457
"369","10/13/2016","8",14.4,300.679172328316
"370","10/13/2016","9",17.2,306.076912635159
"371","10/13/2016","10",18.3,310.998896293558
"372","10/13/2016","11",18.3,319.300261720644
"373","10/13/2016","11",20,319.630745224964
"374","10/13/2016","12",20.6,323.846838693549
"375","10/13/2016","13",21.7,315.55412994671
"376","10/13/2016","14",21.7,300.957009273625
"377","10/13/2016","15",21.1,283.897674340781
"378","10/13/2016","16",20.6,278.518048629119
"379","10/13/2016","17",20,250.265676078455
"380","10/13/2016","18",18.3,194.639711259762
"381","10/13/2016","19",17.8,195.819549468675
"382","10/13/2016","20",17.2,188.550842357297
"383","10/13/2016","21",16.1,141.476710119677
"384","10/13/2016","22",15.6,133.851347408617
"385","10/13/2016","23",14.4,125.545369476147
"386","10/14/2016","0",12.8,126.413536897935
"387","10/14/2016","1",11.1,114.019678451963
"388","10/14/2016","2",10,113.067526904847
"389","10/14/2016","3",9.4,112.897416827482
"390","10/14/2016","4",8.9,121.627479834944
"391","10/14/2016","5",8.3,124.927031792052
"392","10/14/2016","6",7.8,217.251968708783
"393","10/14/2016","7",8.3,274.503774321451
"394","10/14/2016","8",8.9,291.771740453775
"395","10/14/2016","9",10,312.078946126176
"396","10/14/2016","10",11.1,313.441544717123
"397","10/14/2016","11",12.8,316.194936524331
"398","10/14/2016","12",13.3,306.751111239199
"399","10/14/2016","13",14.4,301.813165363333
"400","10/14/2016","14",15,294.829208820638
"401","10/14/2016","15",15,257.480077650322
"402","10/14/2016","16",12.8,274.859390975053
"403","10/14/2016","17",11.7,265.677183509954
"404","10/14/2016","18",11.1,222.51747400882
"405","10/14/2016","19",11.1,182.854632734066
"406","10/14/2016","20",11.7,186.923896001444
"407","10/14/2016","21",11.1,136.568860960732
"408","10/14/2016","22",9.4,126.931328117914
"409","10/14/2016","23",8.9,112.872459307804
