"","2.5 %","97.5 %"
"WindDirDegrees250",-29.0624538427273,-6.121076324718
"WindDirDegrees260",-31.221529230036,-8.96687249912949
"WindDirDegrees270",-25.786234071312,-6.10285202094636
"WindDirDegrees280",-20.1409145568806,-1.49669216780591
"WindDirDegrees290",-12.6876699892716,5.80604562563126
"WindDirDegrees300",-16.6929365884348,2.02654101496191
"WindDirDegrees310",-17.3502255691251,3.18326960906472
"WindDirDegrees320",-18.9327471858405,0.97338262435059
"WindDirDegrees330",-16.3180214417645,4.72741233859202
"WindDirDegrees340",-7.11312917814932,14.7014678787811
"WindDirDegrees350",-5.67419372817224,16.3278929765314
"WindDirDegrees360",-7.70988645018934,14.767684699905
"WindDirDegrees390",-105.287276915988,111.821844404806
